transaction_id,store_id,fecha,mes,dia_semana,hora,ubicacion_tienda,tipo_zona,producto,categoria_producto,precio_unitario,tipo_promocion,clima,cantidad_vendida,prediccion
T02679,S007,2023-04-19,4,Wednesday,21,Lima,Mixta,Hot Dog,Comidas,7.5,Ninguno,Nublado,5,3.069913115339393
T04626,S002,2023-04-24,4,Monday,13,Arequipa,Comercial,Empanada,Comidas,6.5,Ninguno,Lluvioso,4,3.3165407822354696
T04949,S010,2023-04-01,4,Saturday,22,Lima,Mixta,Ibuprofeno,Farmacia,6.0,2x1,Lluvioso,3,3.6395364220811572
T08329,S007,2023-02-10,2,Friday,10,Piura,Mixta,Hot Dog,Comidas,7.5,2x1,Lluvioso,5,3.6395364220811572
T03338,S009,2023-06-06,6,Tuesday,12,Lima,Mixta,Jabon,Aseo,4.5,Ninguno,Lluvioso,2,3.069913115339393
T05589,S009,2023-04-14,4,Friday,12,Lima,Mixta,Jabon,Aseo,4.5,Ninguno,Soleado,3,3.069913115339393
T00252,S010,2023-06-17,6,Saturday,21,Cusco,Residencial,Oreo,Snacks,3.8,2x1,Lluvioso,4,3.6395364220811572
T03974,S007,2023-01-02,1,Monday,19,Arequipa,Comercial,Coca Cola 500ml,Bebidas,3.5,Descuento,Lluvioso,3,2.889802728593362
T06631,S002,2023-07-26,7,Wednesday,20,Cusco,Mixta,Chocolate,Snacks,4.0,2x1,Lluvioso,6,3.6395364220811572
T05547,S009,2023-05-15,5,Monday,19,Trujillo,Residencial,Jabon,Aseo,4.5,Ninguno,Nublado,4,3.069913115339393
T00036,S009,2023-07-09,7,Sunday,16,Huancayo,Comercial,Inca Kola 500ml,Bebidas,3.2,Ninguno,Lluvioso,3,3.069913115339393
T08363,S010,2023-09-27,9,Wednesday,11,Arequipa,Mixta,Hot Dog,Comidas,7.5,Ninguno,Lluvioso,4,3.069913115339393
T01514,S002,2023-02-26,2,Sunday,22,Arequipa,Mixta,Cristal,Alcohol,5.5,Descuento,Nublado,2,2.889802728593362
T09318,S003,2023-11-30,11,Thursday,19,Arequipa,Mixta,Jabon,Aseo,4.5,Descuento,Lluvioso,3,2.9342250040212243
T00040,S005,2023-01-02,1,Monday,17,Piura,Mixta,Empanada,Comidas,6.5,Ninguno,Nublado,1,3.069913115339393
T04820,S010,2023-12-18,12,Monday,9,Piura,Mixta,Paracetamol,Farmacia,5.0,Combo,Soleado,2,3.1299790404551886
T03466,S005,2023-03-22,3,Wednesday,8,Trujillo,Mixta,Doritos,Snacks,4.5,Descuento,Soleado,2,2.889802728593362
T01761,S004,2023-05-03,5,Wednesday,13,Arequipa,Mixta,Hot Dog,Comidas,7.5,Combo,Lluvioso,3,3.1299790404551886
T02305,S005,2023-05-20,5,Saturday,19,Lima,Residencial,Coca Cola 500ml,Bebidas,3.5,Descuento,Soleado,2,2.889802728593362
T03724,S004,2023-09-19,9,Tuesday,17,Arequipa,Comercial,Sandwich,Comidas,8.0,Ninguno,Nublado,3,3.069913115339393
T08285,S008,2023-05-11,5,Thursday,11,Huancayo,Residencial,Hot Dog,Comidas,7.5,Combo,Lluvioso,4,3.1299790404551886
T04993,S008,2023-01-25,1,Wednesday,10,Arequipa,Mixta,Inca Kola 500ml,Bebidas,3.2,Ninguno,Lluvioso,3,3.069913115339393
T08128,S008,2023-04-04,4,Tuesday,12,Huancayo,Comercial,Jabon,Aseo,4.5,Descuento,Nublado,2,2.855008734179954
T03033,S001,2023-04-02,4,Sunday,14,Trujillo,Comercial,Cristal,Alcohol,5.5,Ninguno,Lluvioso,4,3.069913115339393
T07939,S008,2023-06-28,6,Wednesday,12,Huancayo,Comercial,Inca Kola 500ml,Bebidas,3.2,Ninguno,Nublado,4,3.069913115339393
T03040,S007,2023-07-24,7,Monday,21,Huancayo,Residencial,Cristal,Alcohol,5.5,Ninguno,Lluvioso,2,3.069913115339393
T09655,S007,2023-04-02,4,Sunday,17,Trujillo,Residencial,Paracetamol,Farmacia,5.0,2x1,Nublado,5,3.6395364220811572
T02546,S003,2023-10-18,10,Wednesday,20,Lima,Mixta,Oreo,Snacks,3.8,Ninguno,Nublado,2,3.069913115339393
T02593,S005,2023-07-16,7,Sunday,7,Cusco,Mixta,Oreo,Snacks,3.8,Ninguno,Nublado,4,3.069913115339393
T01188,S005,2023-04-19,4,Wednesday,7,Arequipa,Mixta,Doritos,Snacks,4.5,2x1,Soleado,5,3.6395364220811572
T07967,S006,2023-01-27,1,Friday,21,Cusco,Mixta,Paracetamol,Farmacia,5.0,2x1,Nublado,3,3.6395364220811572
T06078,S005,2023-10-27,10,Friday,22,Cusco,Mixta,Empanada,Comidas,6.5,Ninguno,Soleado,2,3.069913115339393
T00108,S004,2023-08-22,8,Tuesday,17,Trujillo,Comercial,Shampoo,Aseo,12.0,Ninguno,Soleado,4,3.069913115339393
T01315,S009,2023-10-10,10,Tuesday,16,Arequipa,Comercial,Hot Dog,Comidas,7.5,2x1,Lluvioso,3,3.6395364220811572
T08188,S006,2023-11-26,11,Sunday,8,Arequipa,Residencial,Cristal,Alcohol,5.5,Ninguno,Nublado,3,3.069913115339393
T02754,S002,2023-01-07,1,Saturday,16,Trujillo,Comercial,Inca Kola 500ml,Bebidas,3.2,Descuento,Soleado,2,2.889802728593362
T09753,S005,2023-03-03,3,Friday,15,Cusco,Residencial,Oreo,Snacks,3.8,Ninguno,Lluvioso,4,3.069913115339393
T06232,S009,2023-03-03,3,Friday,18,Huancayo,Residencial,Paracetamol,Farmacia,5.0,Ninguno,Lluvioso,8,4.7983275197288675
T02877,S003,2023-01-12,1,Thursday,9,Trujillo,Comercial,Cristal,Alcohol,5.5,Ninguno,Nublado,4,3.069913115339393
T05323,S007,2023-08-15,8,Tuesday,8,Lima,Comercial,Ibuprofeno,Farmacia,6.0,Descuento,Nublado,3,2.931050400846621
T00800,S008,2023-05-26,5,Friday,21,Piura,Mixta,Gatorade,Bebidas,4.0,2x1,Nublado,7,3.6395364220811572
T03571,S002,2023-01-28,1,Saturday,7,Huancayo,Mixta,Chocolate,Snacks,4.0,2x1,Soleado,6,3.6395364220811572
T02895,S007,2023-06-17,6,Saturday,11,Lima,Comercial,Jabon,Aseo,4.5,Ninguno,Nublado,3,3.069913115339393
T02928,S006,2023-04-23,4,Sunday,14,Piura,Comercial,Cristal,Alcohol,5.5,Descuento,Nublado,3,2.889802728593362
T08179,S001,2023-02-10,2,Friday,12,Arequipa,Residencial,Paracetamol,Farmacia,5.0,Ninguno,Lluvioso,5,3.069913115339393
T00971,S004,2023-10-12,10,Thursday,10,Huancayo,Mixta,Empanada,Comidas,6.5,Ninguno,Nublado,1,3.069913115339393
T06688,S001,2023-01-15,1,Sunday,20,Lima,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Nublado,2,3.069913115339393
T08576,S001,2023-12-18,12,Monday,15,Lima,Mixta,Cristal,Alcohol,5.5,Combo,Lluvioso,2,3.1299790404551886
T02021,S009,2023-06-16,6,Friday,20,Cusco,Comercial,Pilsen,Alcohol,6.0,Descuento,Nublado,2,2.889802728593362
T09055,S010,2023-03-27,3,Monday,8,Huancayo,Residencial,Jabon,Aseo,4.5,Combo,Soleado,1,3.1299790404551886
T00952,S004,2023-09-11,9,Monday,18,Lima,Comercial,Ibuprofeno,Farmacia,6.0,Descuento,Nublado,3,2.889802728593362
T05359,S004,2023-10-12,10,Thursday,12,Arequipa,Mixta,Paracetamol,Farmacia,5.0,Ninguno,Nublado,2,3.069913115339393
T03858,S002,2023-02-11,2,Saturday,18,Trujillo,Mixta,Oreo,Snacks,3.8,Ninguno,Nublado,3,3.069913115339393
T05861,S002,2023-01-22,1,Sunday,19,Huancayo,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Nublado,6,3.069913115339393
T03146,S007,2023-08-06,8,Sunday,14,Piura,Residencial,Jabon,Aseo,4.5,2x1,Soleado,5,3.6395364220811572
T03306,S008,2023-09-10,9,Sunday,11,Lima,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Soleado,1,3.069913115339393
T03007,S006,2023-02-24,2,Friday,14,Trujillo,Residencial,Jabon,Aseo,4.5,Ninguno,Nublado,2,3.069913115339393
T09002,S004,2023-08-03,8,Thursday,8,Arequipa,Residencial,Pilsen,Alcohol,6.0,Combo,Nublado,2,3.1299790404551886
T07771,S010,2023-03-12,3,Sunday,9,Huancayo,Mixta,Gatorade,Bebidas,4.0,Descuento,Lluvioso,2,2.889802728593362
T07439,S002,2023-11-22,11,Wednesday,17,Arequipa,Residencial,Hot Dog,Comidas,7.5,Ninguno,Nublado,1,3.069913115339393
T07943,S005,2023-01-26,1,Thursday,18,Lima,Comercial,Chocolate,Snacks,4.0,Ninguno,Lluvioso,4,3.194857400598864
T09239,S005,2023-11-28,11,Tuesday,8,Lima,Residencial,Inca Kola 500ml,Bebidas,3.2,Ninguno,Lluvioso,2,3.069913115339393
T01056,S002,2023-12-06,12,Wednesday,14,Lima,Comercial,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,4,3.069913115339393
T03155,S002,2023-12-07,12,Thursday,22,Arequipa,Residencial,Inca Kola 500ml,Bebidas,3.2,Ninguno,Nublado,3,3.069913115339393
T03788,S007,2023-04-19,4,Wednesday,10,Lima,Residencial,Empanada,Comidas,6.5,Ninguno,Nublado,2,3.069913115339393
T09190,S005,2023-04-08,4,Saturday,22,Cusco,Residencial,Chocolate,Snacks,4.0,2x1,Soleado,4,3.6395364220811572
T07826,S002,2023-08-05,8,Saturday,12,Arequipa,Comercial,Empanada,Comidas,6.5,Combo,Soleado,3,3.1299790404551886
T07540,S002,2023-01-28,1,Saturday,21,Lima,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Nublado,2,3.069913115339393
T07232,S007,2023-12-29,12,Friday,8,Trujillo,Comercial,Paracetamol,Farmacia,5.0,Descuento,Soleado,4,2.9342250040212243
T00765,S003,2023-10-22,10,Sunday,11,Piura,Mixta,Agua 625ml,Bebidas,2.0,Ninguno,Lluvioso,4,3.069913115339393
T05019,S005,2023-09-06,9,Wednesday,8,Cusco,Comercial,Chocolate,Snacks,4.0,Ninguno,Nublado,2,3.069913115339393
T04903,S006,2023-09-02,9,Saturday,18,Huancayo,Residencial,Jabon,Aseo,4.5,Combo,Nublado,6,3.1299790404551886
T08094,S009,2023-03-07,3,Tuesday,19,Huancayo,Comercial,Empanada,Comidas,6.5,Ninguno,Soleado,1,3.069913115339393
T06844,S006,2023-08-23,8,Wednesday,8,Lima,Comercial,Ibuprofeno,Farmacia,6.0,Ninguno,Soleado,4,3.069913115339393
T02166,S007,2023-01-02,1,Monday,7,Cusco,Comercial,Oreo,Snacks,3.8,2x1,Nublado,3,3.6395364220811572
T01863,S010,2023-05-18,5,Thursday,8,Lima,Residencial,Ibuprofeno,Farmacia,6.0,Ninguno,Nublado,5,3.069913115339393
T07851,S001,2023-07-04,7,Tuesday,15,Piura,Comercial,Shampoo,Aseo,12.0,2x1,Lluvioso,5,3.6395364220811572
T09124,S002,2023-01-25,1,Wednesday,18,Cusco,Residencial,Oreo,Snacks,3.8,Ninguno,Soleado,2,3.069913115339393
T02341,S008,2023-04-08,4,Saturday,17,Lima,Mixta,Shampoo,Aseo,12.0,Ninguno,Nublado,3,3.069913115339393
T05527,S010,2023-05-15,5,Monday,10,Huancayo,Residencial,Pilsen,Alcohol,6.0,2x1,Soleado,4,3.6395364220811572
T06744,S009,2023-01-05,1,Thursday,19,Lima,Residencial,Shampoo,Aseo,12.0,Combo,Soleado,2,3.1299790404551886
T04004,S008,2023-07-26,7,Wednesday,22,Lima,Comercial,Pilsen,Alcohol,6.0,Ninguno,Soleado,1,3.069913115339393
T01123,S006,2023-12-16,12,Saturday,11,Huancayo,Mixta,Coca Cola 500ml,Bebidas,3.5,Ninguno,Lluvioso,4,3.069913115339393
T08710,S007,2023-07-12,7,Wednesday,8,Cusco,Residencial,Oreo,Snacks,3.8,Ninguno,Nublado,4,3.069913115339393
T04050,S009,2023-02-15,2,Wednesday,8,Piura,Mixta,Paracetamol,Farmacia,5.0,Ninguno,Soleado,4,3.069913115339393
T07641,S005,2023-01-12,1,Thursday,10,Lima,Comercial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,4,3.069913115339393
T00766,S003,2023-06-26,6,Monday,11,Trujillo,Comercial,Agua 625ml,Bebidas,2.0,Ninguno,Soleado,3,3.069913115339393
T02345,S002,2023-05-30,5,Tuesday,12,Lima,Comercial,Hot Dog,Comidas,7.5,Ninguno,Soleado,3,3.069913115339393
T04072,S009,2023-02-01,2,Wednesday,16,Cusco,Comercial,Doritos,Snacks,4.5,Ninguno,Nublado,4,3.069913115339393
T07217,S001,2023-08-20,8,Sunday,8,Cusco,Mixta,Shampoo,Aseo,12.0,2x1,Lluvioso,4,3.6395364220811572
T04217,S006,2023-12-18,12,Monday,18,Huancayo,Comercial,Doritos,Snacks,4.5,2x1,Soleado,6,3.6395364220811572
T07953,S001,2023-01-27,1,Friday,11,Trujillo,Mixta,Lays,Snacks,4.2,Ninguno,Nublado,3,3.069913115339393
T05971,S001,2023-12-05,12,Tuesday,7,Piura,Residencial,Coca Cola 500ml,Bebidas,3.5,Descuento,Lluvioso,3,2.9342250040212243
T03351,S003,2023-06-03,6,Saturday,10,Arequipa,Residencial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,3,3.069913115339393
T04696,S006,2023-12-11,12,Monday,20,Trujillo,Comercial,Lays,Snacks,4.2,Ninguno,Lluvioso,3,3.069913115339393
T03400,S008,2023-06-22,6,Thursday,10,Huancayo,Residencial,Empanada,Comidas,6.5,Combo,Soleado,4,3.1299790404551886
T04082,S007,2023-09-03,9,Sunday,18,Lima,Residencial,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,2,3.069913115339393
T09150,S007,2023-01-10,1,Tuesday,7,Huancayo,Mixta,Chocolate,Snacks,4.0,Ninguno,Nublado,4,3.069913115339393
T01224,S009,2023-10-28,10,Saturday,20,Arequipa,Comercial,Shampoo,Aseo,12.0,2x1,Soleado,3,3.6395364220811572
T06293,S002,2023-08-09,8,Wednesday,13,Piura,Mixta,Coca Cola 500ml,Bebidas,3.5,Combo,Nublado,5,3.1299790404551886
T03123,S004,2023-04-12,4,Wednesday,16,Huancayo,Comercial,Sandwich,Comidas,8.0,2x1,Lluvioso,3,3.6395364220811572
T00511,S006,2023-12-09,12,Saturday,13,Cusco,Comercial,Doritos,Snacks,4.5,Combo,Nublado,2,3.1299790404551886
T05794,S001,2023-09-16,9,Saturday,19,Arequipa,Mixta,Sandwich,Comidas,8.0,Descuento,Soleado,3,2.9348382796344996
T08182,S009,2023-05-30,5,Tuesday,9,Cusco,Comercial,Gatorade,Bebidas,4.0,Combo,Nublado,4,3.1299790404551886
T09418,S010,2023-03-31,3,Friday,20,Piura,Residencial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,2,3.069913115339393
T00097,S008,2023-01-21,1,Saturday,12,Arequipa,Residencial,Sandwich,Comidas,8.0,Ninguno,Lluvioso,3,3.069913115339393
T06682,S002,2023-01-04,1,Wednesday,15,Cusco,Comercial,Sandwich,Comidas,8.0,Ninguno,Nublado,4,3.069913115339393
T01513,S006,2023-11-07,11,Tuesday,19,Arequipa,Mixta,Lays,Snacks,4.2,Ninguno,Nublado,4,3.1126472606564866
T08792,S008,2023-05-14,5,Sunday,21,Huancayo,Residencial,Shampoo,Aseo,12.0,2x1,Soleado,6,3.6395364220811572
T00120,S007,2023-10-22,10,Sunday,16,Arequipa,Residencial,Shampoo,Aseo,12.0,Ninguno,Lluvioso,3,3.069913115339393
T07792,S010,2023-06-29,6,Thursday,20,Huancayo,Residencial,Hot Dog,Comidas,7.5,2x1,Nublado,5,3.6395364220811572
T06518,S006,2023-08-07,8,Monday,19,Huancayo,Comercial,Agua 625ml,Bebidas,2.0,Ninguno,Soleado,3,3.069913115339393
T00034,S005,2023-05-03,5,Wednesday,15,Cusco,Comercial,Lays,Snacks,4.2,Ninguno,Soleado,3,3.069913115339393
T07888,S003,2023-05-09,5,Tuesday,18,Arequipa,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Soleado,4,3.069913115339393
T06831,S002,2023-10-20,10,Friday,9,Lima,Mixta,Agua 625ml,Bebidas,2.0,Ninguno,Soleado,4,3.069913115339393
T05421,S005,2023-01-28,1,Saturday,21,Arequipa,Mixta,Chocolate,Snacks,4.0,Ninguno,Soleado,3,3.069913115339393
T01068,S007,2023-03-23,3,Thursday,7,Huancayo,Comercial,Sandwich,Comidas,8.0,Ninguno,Nublado,6,3.069913115339393
T01347,S006,2023-03-02,3,Thursday,17,Trujillo,Mixta,Lays,Snacks,4.2,Descuento,Lluvioso,3,2.889802728593362
T04748,S001,2023-03-30,3,Thursday,14,Lima,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Nublado,3,3.069913115339393
T06006,S006,2023-02-19,2,Sunday,11,Arequipa,Comercial,Sandwich,Comidas,8.0,Ninguno,Lluvioso,1,3.069913115339393
T06040,S002,2023-09-14,9,Thursday,12,Huancayo,Comercial,Chocolate,Snacks,4.0,Ninguno,Soleado,3,3.069913115339393
T03818,S009,2023-06-10,6,Saturday,18,Piura,Mixta,Paracetamol,Farmacia,5.0,Ninguno,Soleado,5,3.069913115339393
T08447,S004,2023-08-17,8,Thursday,22,Arequipa,Mixta,Oreo,Snacks,3.8,2x1,Lluvioso,7,3.6395364220811572
T05269,S009,2023-12-20,12,Wednesday,17,Trujillo,Mixta,Jabon,Aseo,4.5,Ninguno,Lluvioso,2,3.069913115339393
T06898,S003,2023-05-26,5,Friday,16,Cusco,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Nublado,1,3.069913115339393
T05309,S009,2023-11-21,11,Tuesday,18,Huancayo,Mixta,Lays,Snacks,4.2,Descuento,Lluvioso,4,2.9342250040212243
T00032,S007,2023-02-05,2,Sunday,9,Lima,Mixta,Inca Kola 500ml,Bebidas,3.2,Descuento,Soleado,1,2.889802728593362
T05674,S004,2023-12-24,12,Sunday,21,Lima,Mixta,Oreo,Snacks,3.8,Descuento,Nublado,3,3.0647209857051787
T04387,S007,2023-05-10,5,Wednesday,15,Cusco,Comercial,Paracetamol,Farmacia,5.0,Descuento,Soleado,3,2.889802728593362
T00030,S001,2023-03-21,3,Tuesday,13,Trujillo,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,5,3.069913115339393
T04203,S004,2023-11-19,11,Sunday,16,Arequipa,Comercial,Coca Cola 500ml,Bebidas,3.5,Ninguno,Nublado,4,3.069913115339393
T07508,S009,2023-01-10,1,Tuesday,19,Arequipa,Residencial,Ibuprofeno,Farmacia,6.0,Descuento,Soleado,2,2.931050400846621
T00736,S005,2023-03-23,3,Thursday,8,Piura,Comercial,Pilsen,Alcohol,6.0,2x1,Nublado,4,3.6395364220811572
T02068,S004,2023-03-05,3,Sunday,18,Trujillo,Comercial,Gatorade,Bebidas,4.0,Ninguno,Nublado,2,3.069913115339393
T00107,S009,2023-06-02,6,Friday,22,Cusco,Comercial,Agua 625ml,Bebidas,2.0,Ninguno,Nublado,2,3.069913115339393
T09644,S010,2023-05-09,5,Tuesday,18,Arequipa,Residencial,Inca Kola 500ml,Bebidas,3.2,Ninguno,Soleado,2,3.069913115339393
T08895,S008,2023-08-11,8,Friday,17,Trujillo,Mixta,Jabon,Aseo,4.5,2x1,Soleado,5,3.6395364220811572
T08021,S001,2023-11-04,11,Saturday,21,Cusco,Mixta,Gatorade,Bebidas,4.0,Ninguno,Nublado,4,3.069913115339393
T02233,S003,2023-10-16,10,Monday,21,Lima,Residencial,Cristal,Alcohol,5.5,Descuento,Lluvioso,1,2.8489991187953385
T00993,S006,2023-01-12,1,Thursday,8,Trujillo,Mixta,Sandwich,Comidas,8.0,Ninguno,Lluvioso,4,3.069913115339393
T09413,S008,2023-10-22,10,Sunday,14,Arequipa,Mixta,Sandwich,Comidas,8.0,Ninguno,Soleado,3,3.069913115339393
T07059,S009,2023-08-20,8,Sunday,15,Trujillo,Residencial,Lays,Snacks,4.2,Combo,Soleado,1,3.1299790404551886
T06790,S009,2023-06-14,6,Wednesday,7,Arequipa,Mixta,Jabon,Aseo,4.5,Ninguno,Lluvioso,1,3.069913115339393
T00361,S006,2023-01-04,1,Wednesday,20,Huancayo,Mixta,Oreo,Snacks,3.8,Ninguno,Soleado,6,3.069913115339393
T00305,S001,2023-12-03,12,Sunday,18,Trujillo,Mixta,Inca Kola 500ml,Bebidas,3.2,2x1,Lluvioso,5,3.6395364220811572
T02628,S003,2023-04-09,4,Sunday,14,Piura,Comercial,Lays,Snacks,4.2,Ninguno,Soleado,2,3.069913115339393
T08966,S010,2023-11-11,11,Saturday,21,Piura,Comercial,Chocolate,Snacks,4.0,Ninguno,Nublado,5,3.069913115339393
T04514,S002,2023-01-07,1,Saturday,22,Cusco,Comercial,Ibuprofeno,Farmacia,6.0,2x1,Nublado,6,3.6395364220811572
T05910,S001,2023-07-24,7,Monday,17,Cusco,Residencial,Agua 625ml,Bebidas,2.0,Ninguno,Nublado,3,3.069913115339393
T08314,S005,2023-07-01,7,Saturday,8,Piura,Mixta,Ibuprofeno,Farmacia,6.0,Combo,Soleado,2,3.1299790404551886
T03101,S007,2023-12-03,12,Sunday,13,Trujillo,Mixta,Pilsen,Alcohol,6.0,Combo,Lluvioso,4,3.1299790404551886
T05703,S001,2023-05-18,5,Thursday,8,Huancayo,Residencial,Agua 625ml,Bebidas,2.0,2x1,Lluvioso,3,3.6395364220811572
T03899,S001,2023-05-24,5,Wednesday,18,Trujillo,Comercial,Inca Kola 500ml,Bebidas,3.2,Combo,Soleado,2,3.1299790404551886
T05440,S003,2023-06-18,6,Sunday,20,Lima,Residencial,Oreo,Snacks,3.8,2x1,Lluvioso,3,3.6395364220811572
T07931,S010,2023-02-02,2,Thursday,16,Lima,Residencial,Shampoo,Aseo,12.0,Descuento,Soleado,1,2.9348382796344996
T00622,S001,2023-06-20,6,Tuesday,22,Arequipa,Mixta,Lays,Snacks,4.2,2x1,Nublado,6,3.6395364220811572
T07236,S004,2023-05-10,5,Wednesday,17,Huancayo,Mixta,Pilsen,Alcohol,6.0,2x1,Nublado,3,3.8361852156468417
T02499,S004,2023-05-29,5,Monday,7,Piura,Comercial,Oreo,Snacks,3.8,Descuento,Soleado,2,2.889802728593362
T00714,S004,2023-02-25,2,Saturday,11,Trujillo,Mixta,Ibuprofeno,Farmacia,6.0,Descuento,Soleado,2,2.889802728593362
T08404,S009,2023-08-14,8,Monday,21,Trujillo,Comercial,Ibuprofeno,Farmacia,6.0,Ninguno,Soleado,5,3.069913115339393
T02856,S008,2023-01-29,1,Sunday,15,Trujillo,Comercial,Shampoo,Aseo,12.0,Ninguno,Lluvioso,1,3.069913115339393
T04270,S008,2023-01-07,1,Saturday,11,Piura,Residencial,Coca Cola 500ml,Bebidas,3.5,Ninguno,Nublado,3,3.069913115339393
T02909,S002,2023-08-10,8,Thursday,22,Lima,Comercial,Empanada,Comidas,6.5,Ninguno,Lluvioso,2,3.069913115339393
T08081,S008,2023-12-11,12,Monday,18,Huancayo,Mixta,Chocolate,Snacks,4.0,Combo,Soleado,2,3.1299790404551886
