transaction_id,store_id,fecha,mes,dia_semana,hora,ubicacion_tienda,tipo_zona,producto,categoria_producto,precio_unitario,tipo_promocion,clima,cantidad_vendida
T00060,S008,2023-05-07,5,Sunday,15:49,Huancayo,Residencial,Cristal,Alcohol,5.5,Descuento,Nublado,2
T00061,S006,2024-01-01,1,Monday,16:15,Trujillo,Residencial,Pilsen,Alcohol,6.0,Ninguno,Soleado,4
T00062,S007,2023-07-16,7,Sunday,11:45,Cusco,Comercial,Oreo,Snacks,3.8,Ninguno,Lluvioso,2
T00063,S010,2023-02-01,2,Wednesday,13:53,Huancayo,Residencial,Cristal,Alcohol,5.5,Ninguno,Lluvioso,5
T00064,S007,2023-01-04,1,Wednesday,18:19,Trujillo,Mixta,Cristal,Alcohol,5.5,Descuento,Lluvioso,3
T00065,S001,2023-09-07,9,Thursday,14:17,Cusco,Comercial,Jabon,Aseo,4.5,Ninguno,Lluvioso,1
T00066,S010,2023-03-26,3,Sunday,21:58,Trujillo,Residencial,Ibuprofeno,Farmacia,6.0,Ninguno,Nublado,5
T00067,S003,2023-02-12,2,Sunday,20:08,Lima,Comercial,Jabon,Aseo,4.5,Descuento,Nublado,6
T00068,S007,2023-08-21,8,Monday,17:21,Arequipa,Comercial,Empanada,Comidas,6.5,Descuento,Nublado,3
T00069,S002,2023-01-10,1,Tuesday,08:22,Huancayo,Residencial,Gatorade,Bebidas,4.0,Ninguno,Soleado,1
T00070,S002,2023-01-11,1,Wednesday,11:15,Trujillo,Residencial,Oreo,Snacks,3.8,Ninguno,Nublado,1
T00071,S002,2023-07-08,7,Saturday,12:38,Piura,Comercial,Ibuprofeno,Farmacia,6.0,2x1,Soleado,3
T00072,S004,2023-06-09,6,Friday,19:25,Lima,Mixta,Jabon,Aseo,4.5,Combo,Lluvioso,2
T00073,S002,2023-02-22,2,Wednesday,16:54,Trujillo,Residencial,Paracetamol,Farmacia,5.0,2x1,Nublado,4
T00074,S006,2023-12-05,12,Tuesday,18:04,Lima,Comercial,Shampoo,Aseo,12.0,Ninguno,Nublado,3
T00075,S003,2023-07-05,7,Wednesday,21:45,Huancayo,Mixta,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,6
T00076,S010,2023-10-03,10,Tuesday,22:29,Arequipa,Comercial,Sandwich,Comidas,8.0,Ninguno,Soleado,2
T00077,S010,2023-08-19,8,Saturday,14:48,Huancayo,Comercial,Agua 625ml,Bebidas,2.0,Ninguno,Nublado,3
T00078,S005,2023-06-16,6,Friday,12:31,Arequipa,Comercial,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,5
T00079,S002,2023-10-12,10,Thursday,07:33,Piura,Mixta,Ibuprofeno,Farmacia,6.0,Combo,Nublado,2
T00080,S008,2023-12-20,12,Wednesday,22:41,Lima,Residencial,Pilsen,Alcohol,6.0,2x1,Nublado,4
T00081,S006,2023-12-21,12,Thursday,14:19,Cusco,Mixta,Chocolate,Snacks,4.0,2x1,Lluvioso,3
T00082,S005,2023-10-09,10,Monday,17:22,Arequipa,Comercial,Hot Dog,Comidas,7.5,2x1,Soleado,6
T00083,S003,2023-06-11,6,Sunday,10:47,Piura,Residencial,Inca Kola 500ml,Bebidas,3.2,Ninguno,Lluvioso,6
T00084,S005,2023-10-29,10,Sunday,16:06,Piura,Comercial,Cristal,Alcohol,5.5,Descuento,Soleado,3
T00085,S001,2023-12-29,12,Friday,11:17,Trujillo,Comercial,Empanada,Comidas,6.5,Ninguno,Lluvioso,2
T00086,S008,2023-02-22,2,Wednesday,07:36,Cusco,Comercial,Chocolate,Snacks,4.0,Ninguno,Soleado,4
T00087,S008,2023-09-02,9,Saturday,10:52,Lima,Mixta,Agua 625ml,Bebidas,2.0,Ninguno,Lluvioso,3
T00088,S005,2023-03-19,3,Sunday,11:51,Lima,Residencial,Paracetamol,Farmacia,5.0,Ninguno,Soleado,6
T00089,S008,2023-11-07,11,Tuesday,14:49,Cusco,Comercial,Shampoo,Aseo,12.0,Ninguno,Lluvioso,6
T00090,S002,2023-10-19,10,Thursday,08:39,Piura,Mixta,Cristal,Alcohol,5.5,Combo,Soleado,6
T00091,S002,2023-02-11,2,Saturday,12:15,Piura,Residencial,Sandwich,Comidas,8.0,Ninguno,Nublado,2
T00092,S005,2023-05-30,5,Tuesday,08:14,Huancayo,Comercial,Cristal,Alcohol,5.5,Ninguno,Soleado,1
T00093,S004,2023-05-16,5,Tuesday,13:27,Huancayo,Residencial,Paracetamol,Farmacia,5.0,Ninguno,Nublado,2
T00094,S010,2023-01-31,1,Tuesday,12:50,Arequipa,Comercial,Doritos,Snacks,4.5,Ninguno,Soleado,3
T00095,S008,2023-12-25,12,Monday,19:17,Cusco,Residencial,Cristal,Alcohol,5.5,Ninguno,Lluvioso,2
T00096,S010,2023-06-15,6,Thursday,15:01,Trujillo,Residencial,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,1
T00097,S008,2023-01-21,1,Saturday,12:30,Arequipa,Residencial,Sandwich,Comidas,8.0,Ninguno,Lluvioso,3
T00098,S006,2023-02-16,2,Thursday,22:22,Huancayo,Residencial,Cristal,Alcohol,5.5,Ninguno,Soleado,3
T00099,S007,2023-12-22,12,Friday,22:18,Trujillo,Residencial,Hot Dog,Comidas,7.5,2x1,Nublado,3
T00100,S007,2023-05-10,5,Wednesday,17:07,Trujillo,Residencial,Agua 625ml,Bebidas,2.0,Combo,Lluvioso,1
T00101,S010,2023-07-31,7,Monday,08:12,Cusco,Mixta,Shampoo,Aseo,12.0,Ninguno,Nublado,4
T00102,S008,2023-05-17,5,Wednesday,11:59,Lima,Residencial,Inca Kola 500ml,Bebidas,3.2,Ninguno,Lluvioso,4
T00103,S009,2023-12-30,12,Saturday,12:19,Cusco,Residencial,Jabon,Aseo,4.5,Ninguno,Soleado,2
T00104,S005,2023-03-02,3,Thursday,11:31,Trujillo,Mixta,Gatorade,Bebidas,4.0,Combo,Nublado,1
T00105,S007,2023-08-30,8,Wednesday,14:29,Piura,Mixta,Cristal,Alcohol,5.5,Ninguno,Lluvioso,1
T00106,S007,2023-02-05,2,Sunday,15:49,Arequipa,Mixta,Paracetamol,Farmacia,5.0,Descuento,Nublado,5
T00107,S009,2023-06-02,6,Friday,22:55,Cusco,Comercial,Agua 625ml,Bebidas,2.0,Ninguno,Nublado,2
T00108,S004,2023-08-22,8,Tuesday,17:55,Trujillo,Comercial,Shampoo,Aseo,12.0,Ninguno,Soleado,4
T00109,S007,2023-06-12,6,Monday,22:45,Cusco,Mixta,Pilsen,Alcohol,6.0,Combo,Lluvioso,5
T00110,S006,2023-01-19,1,Thursday,11:32,Lima,Comercial,Chocolate,Snacks,4.0,Combo,Soleado,2
T00111,S003,2023-01-08,1,Sunday,11:26,Lima,Comercial,Shampoo,Aseo,12.0,Descuento,Nublado,2
T00112,S006,2023-12-21,12,Thursday,19:41,Huancayo,Mixta,Sandwich,Comidas,8.0,Ninguno,Nublado,1
T00113,S005,2023-09-07,9,Thursday,08:39,Piura,Mixta,Sandwich,Comidas,8.0,Ninguno,Soleado,1
T00114,S005,2023-11-21,11,Tuesday,10:28,Lima,Residencial,Pilsen,Alcohol,6.0,Ninguno,Nublado,1
T00115,S009,2023-07-03,7,Monday,18:27,Cusco,Mixta,Agua 625ml,Bebidas,2.0,Ninguno,Lluvioso,4
T00116,S010,2023-03-31,3,Friday,09:39,Huancayo,Residencial,Oreo,Snacks,3.8,Descuento,Nublado,3
T00117,S005,2023-04-29,4,Saturday,21:40,Huancayo,Residencial,Jabon,Aseo,4.5,Ninguno,Nublado,3
T00118,S006,2023-10-07,10,Saturday,12:04,Trujillo,Comercial,Sandwich,Comidas,8.0,Ninguno,Lluvioso,2
T00119,S008,2023-08-22,8,Tuesday,16:12,Lima,Residencial,Cristal,Alcohol,5.5,Combo,Nublado,3
T00120,S007,2023-10-22,10,Sunday,16:44,Arequipa,Residencial,Shampoo,Aseo,12.0,Ninguno,Lluvioso,3
T00121,S005,2023-11-07,11,Tuesday,22:53,Piura,Mixta,Paracetamol,Farmacia,5.0,Combo,Nublado,1
T00122,S003,2023-11-14,11,Tuesday,15:43,Huancayo,Residencial,Oreo,Snacks,3.8,Descuento,Lluvioso,2
T00123,S003,2023-06-08,6,Thursday,21:02,Lima,Comercial,Paracetamol,Farmacia,5.0,Ninguno,Nublado,4
T00124,S006,2023-03-31,3,Friday,13:08,Trujillo,Mixta,Ibuprofeno,Farmacia,6.0,Descuento,Nublado,5
T00125,S002,2023-09-04,9,Monday,16:47,Cusco,Residencial,Lays,Snacks,4.2,Descuento,Soleado,4
T00126,S001,2023-10-13,10,Friday,18:05,Arequipa,Mixta,Chocolate,Snacks,4.0,Descuento,Soleado,1
T00127,S006,2023-12-11,12,Monday,15:37,Lima,Mixta,Cristal,Alcohol,5.5,Ninguno,Soleado,1
T00128,S002,2023-11-14,11,Tuesday,17:58,Huancayo,Comercial,Pilsen,Alcohol,6.0,2x1,Lluvioso,2
T00129,S001,2023-07-29,7,Saturday,10:08,Arequipa,Comercial,Sandwich,Comidas,8.0,Ninguno,Soleado,2
T00130,S009,2023-10-03,10,Tuesday,11:24,Cusco,Mixta,Inca Kola 500ml,Bebidas,3.2,Ninguno,Lluvioso,3
T00131,S007,2023-08-01,8,Tuesday,10:53,Arequipa,Residencial,Paracetamol,Farmacia,5.0,Ninguno,Lluvioso,3
T00132,S002,2023-08-16,8,Wednesday,21:15,Huancayo,Comercial,Empanada,Comidas,6.5,Descuento,Lluvioso,6
T00133,S002,2023-02-01,2,Wednesday,19:17,Cusco,Residencial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,2
T00134,S010,2023-01-26,1,Thursday,17:15,Piura,Residencial,Doritos,Snacks,4.5,Combo,Lluvioso,4
T00135,S010,2023-04-30,4,Sunday,17:49,Lima,Comercial,Oreo,Snacks,3.8,Ninguno,Soleado,5
T00136,S003,2023-03-31,3,Friday,10:42,Lima,Comercial,Lays,Snacks,4.2,Descuento,Soleado,3
T00137,S007,2023-01-09,1,Monday,12:16,Trujillo,Residencial,Shampoo,Aseo,12.0,Ninguno,Lluvioso,4
T00138,S008,2023-08-18,8,Friday,18:32,Trujillo,Residencial,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,3
T00139,S007,2023-08-23,8,Wednesday,07:03,Cusco,Mixta,Agua 625ml,Bebidas,2.0,Combo,Soleado,2
T00140,S002,2023-02-07,2,Tuesday,09:20,Piura,Comercial,Cristal,Alcohol,5.5,2x1,Lluvioso,6
T00141,S007,2023-07-15,7,Saturday,16:29,Lima,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Soleado,2
T00142,S006,2023-08-09,8,Wednesday,21:56,Cusco,Comercial,Paracetamol,Farmacia,5.0,Ninguno,Nublado,4
T00143,S006,2023-06-10,6,Saturday,20:20,Piura,Mixta,Paracetamol,Farmacia,5.0,2x1,Nublado,3
T00144,S006,2023-02-13,2,Monday,09:27,Piura,Mixta,Coca Cola 500ml,Bebidas,3.5,Ninguno,Soleado,2
T00145,S007,2023-12-10,12,Sunday,10:26,Huancayo,Residencial,Shampoo,Aseo,12.0,Ninguno,Nublado,4
T00146,S003,2023-06-30,6,Friday,10:36,Huancayo,Comercial,Shampoo,Aseo,12.0,Ninguno,Soleado,1
T00147,S010,2023-10-12,10,Thursday,18:07,Piura,Comercial,Agua 625ml,Bebidas,2.0,Descuento,Lluvioso,2
T00148,S005,2023-11-08,11,Wednesday,15:01,Arequipa,Comercial,Jabon,Aseo,4.5,Ninguno,Soleado,2
T00149,S001,2023-10-17,10,Tuesday,19:04,Lima,Mixta,Oreo,Snacks,3.8,Ninguno,Lluvioso,1
T00150,S005,2023-08-03,8,Thursday,21:21,Huancayo,Comercial,Chocolate,Snacks,4.0,Ninguno,Lluvioso,2
T00151,S001,2023-01-27,1,Friday,11:10,Huancayo,Residencial,Jabon,Aseo,4.5,Descuento,Nublado,3
T00152,S009,2023-09-06,9,Wednesday,21:26,Lima,Comercial,Cristal,Alcohol,5.5,Ninguno,Nublado,1
T00153,S001,2023-12-14,12,Thursday,22:33,Piura,Comercial,Agua 625ml,Bebidas,2.0,2x1,Lluvioso,5
T00154,S005,2023-04-15,4,Saturday,16:13,Arequipa,Comercial,Coca Cola 500ml,Bebidas,3.5,Descuento,Soleado,5
T00155,S004,2023-08-09,8,Wednesday,12:08,Trujillo,Mixta,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,5
T00156,S002,2023-07-23,7,Sunday,08:27,Arequipa,Mixta,Empanada,Comidas,6.5,Ninguno,Nublado,2
T00157,S001,2023-12-30,12,Saturday,20:18,Arequipa,Residencial,Shampoo,Aseo,12.0,Ninguno,Lluvioso,2
T00158,S007,2023-02-15,2,Wednesday,20:54,Trujillo,Comercial,Cristal,Alcohol,5.5,Ninguno,Lluvioso,1
T00159,S003,2023-06-08,6,Thursday,17:14,Lima,Mixta,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,1
T00160,S003,2023-06-28,6,Wednesday,18:46,Piura,Residencial,Inca Kola 500ml,Bebidas,3.2,Combo,Soleado,5
T00161,S002,2023-03-30,3,Thursday,11:48,Piura,Mixta,Empanada,Comidas,6.5,Descuento,Nublado,3
T00162,S006,2023-12-15,12,Friday,17:55,Piura,Comercial,Cristal,Alcohol,5.5,Combo,Soleado,2
T00163,S001,2023-11-20,11,Monday,16:50,Arequipa,Mixta,Cristal,Alcohol,5.5,Ninguno,Soleado,2
T00164,S005,2023-08-20,8,Sunday,08:03,Lima,Mixta,Hot Dog,Comidas,7.5,Ninguno,Soleado,4
T00165,S010,2023-08-25,8,Friday,08:28,Huancayo,Residencial,Shampoo,Aseo,12.0,Combo,Nublado,5
T00166,S006,2023-09-14,9,Thursday,11:03,Huancayo,Residencial,Shampoo,Aseo,12.0,Ninguno,Lluvioso,5
T00167,S008,2023-01-21,1,Saturday,14:45,Trujillo,Mixta,Paracetamol,Farmacia,5.0,Ninguno,Lluvioso,4
T00168,S006,2023-07-10,7,Monday,16:24,Huancayo,Mixta,Lays,Snacks,4.2,Ninguno,Soleado,3
T00169,S007,2023-02-03,2,Friday,17:06,Arequipa,Comercial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,3
T00170,S006,2023-06-20,6,Tuesday,09:37,Arequipa,Mixta,Paracetamol,Farmacia,5.0,2x1,Lluvioso,2
T00171,S006,2023-03-08,3,Wednesday,09:19,Piura,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,5
T00172,S006,2023-11-27,11,Monday,20:32,Arequipa,Residencial,Paracetamol,Farmacia,5.0,Ninguno,Soleado,3
T00173,S005,2023-04-09,4,Sunday,14:08,Lima,Mixta,Hot Dog,Comidas,7.5,Ninguno,Lluvioso,6
T00174,S003,2023-12-05,12,Tuesday,17:56,Trujillo,Comercial,Paracetamol,Farmacia,5.0,Descuento,Soleado,3
T00175,S007,2023-12-21,12,Thursday,12:46,Arequipa,Mixta,Oreo,Snacks,3.8,Ninguno,Lluvioso,1
T00176,S008,2023-11-09,11,Thursday,16:48,Piura,Mixta,Chocolate,Snacks,4.0,2x1,Soleado,5
T00177,S008,2023-04-10,4,Monday,18:43,Cusco,Comercial,Hot Dog,Comidas,7.5,Combo,Nublado,6
T00178,S005,2023-03-24,3,Friday,13:51,Lima,Mixta,Shampoo,Aseo,12.0,2x1,Nublado,3
T00179,S003,2023-02-22,2,Wednesday,10:18,Arequipa,Comercial,Sandwich,Comidas,8.0,Ninguno,Lluvioso,1
T00180,S006,2023-02-16,2,Thursday,14:52,Lima,Comercial,Chocolate,Snacks,4.0,Ninguno,Soleado,9
T00181,S001,2023-05-01,5,Monday,19:05,Arequipa,Residencial,Cristal,Alcohol,5.5,Ninguno,Lluvioso,2
T00182,S008,2023-03-16,3,Thursday,11:02,Huancayo,Residencial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,3
T00183,S005,2023-11-12,11,Sunday,07:57,Piura,Residencial,Cristal,Alcohol,5.5,Ninguno,Lluvioso,4
T00184,S001,2023-02-26,2,Sunday,16:15,Piura,Comercial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,5
T00185,S010,2023-02-02,2,Thursday,10:53,Trujillo,Residencial,Shampoo,Aseo,12.0,Combo,Lluvioso,4
T00186,S006,2023-03-15,3,Wednesday,16:27,Piura,Mixta,Jabon,Aseo,4.5,Ninguno,Nublado,1
T00187,S009,2023-09-26,9,Tuesday,18:04,Trujillo,Mixta,Doritos,Snacks,4.5,Combo,Lluvioso,1
T00188,S006,2023-08-29,8,Tuesday,08:40,Arequipa,Mixta,Gatorade,Bebidas,4.0,Ninguno,Soleado,4
T00189,S002,2023-06-26,6,Monday,14:46,Trujillo,Mixta,Empanada,Comidas,6.5,2x1,Nublado,3
T00190,S008,2023-06-30,6,Friday,17:52,Huancayo,Comercial,Doritos,Snacks,4.5,2x1,Lluvioso,4
T00191,S001,2023-02-02,2,Thursday,21:02,Piura,Residencial,Oreo,Snacks,3.8,Ninguno,Nublado,4
T00192,S004,2023-07-23,7,Sunday,22:16,Arequipa,Comercial,Sandwich,Comidas,8.0,Ninguno,Soleado,6
T00193,S007,2023-05-20,5,Saturday,10:51,Huancayo,Comercial,Ibuprofeno,Farmacia,6.0,Ninguno,Nublado,3
T00194,S009,2023-09-12,9,Tuesday,22:23,Arequipa,Residencial,Empanada,Comidas,6.5,Combo,Lluvioso,4
T00195,S002,2023-08-09,8,Wednesday,12:34,Lima,Comercial,Pilsen,Alcohol,6.0,Ninguno,Lluvioso,3
T00196,S006,2023-08-17,8,Thursday,20:10,Cusco,Residencial,Hot Dog,Comidas,7.5,2x1,Lluvioso,2
T00197,S001,2023-08-11,8,Friday,15:40,Lima,Mixta,Sandwich,Comidas,8.0,Combo,Lluvioso,1
T00198,S010,2023-09-20,9,Wednesday,12:01,Huancayo,Comercial,Cristal,Alcohol,5.5,Ninguno,Soleado,2
T00199,S010,2023-05-01,5,Monday,18:23,Lima,Mixta,Doritos,Snacks,4.5,Ninguno,Soleado,2
T00200,S010,2023-07-09,7,Sunday,18:28,Piura,Mixta,Ibuprofeno,Farmacia,6.0,Descuento,Nublado,4
T00201,S001,2023-11-29,11,Wednesday,15:15,Huancayo,Residencial,Cristal,Alcohol,5.5,Combo,Nublado,2
T00202,S008,2023-10-15,10,Sunday,10:16,Piura,Mixta,Shampoo,Aseo,12.0,Descuento,Nublado,1
T00203,S008,2023-04-13,4,Thursday,10:08,Piura,Mixta,Ibuprofeno,Farmacia,6.0,Descuento,Nublado,2
T00204,S009,2023-12-08,12,Friday,18:45,Arequipa,Comercial,Agua 625ml,Bebidas,2.0,Ninguno,Soleado,2
T00205,S003,2023-07-05,7,Wednesday,14:07,Piura,Comercial,Paracetamol,Farmacia,5.0,Combo,Soleado,1
T00206,S009,2023-10-21,10,Saturday,18:29,Piura,Mixta,Sandwich,Comidas,8.0,Descuento,Soleado,2
T00207,S007,2023-07-23,7,Sunday,22:33,Trujillo,Residencial,Agua 625ml,Bebidas,2.0,Ninguno,Soleado,3
T00208,S006,2023-02-07,2,Tuesday,21:29,Piura,Mixta,Sandwich,Comidas,8.0,2x1,Lluvioso,2
T00209,S001,2023-03-08,3,Wednesday,20:32,Lima,Mixta,Jabon,Aseo,4.5,Combo,Soleado,3
T00210,S006,2023-03-24,3,Friday,17:59,Trujillo,Comercial,Empanada,Comidas,6.5,2x1,Soleado,4
T00211,S010,2023-11-22,11,Wednesday,15:08,Trujillo,Residencial,Empanada,Comidas,6.5,2x1,Lluvioso,5
T00212,S010,2023-10-31,10,Tuesday,11:10,Arequipa,Mixta,Paracetamol,Farmacia,5.0,2x1,Soleado,3
T00213,S010,2023-01-24,1,Tuesday,15:41,Cusco,Mixta,Coca Cola 500ml,Bebidas,3.5,Ninguno,Lluvioso,3
T00214,S008,2023-11-18,11,Saturday,16:41,Piura,Mixta,Gatorade,Bebidas,4.0,Combo,Nublado,3
T00215,S008,2023-02-07,2,Tuesday,08:10,Cusco,Residencial,Hot Dog,Comidas,7.5,Ninguno,Nublado,4
